codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-500-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fJvdNUpYQo-kbzCMuBliiFDV8Pgb5MTad20bdf2p81U,",DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Lidocaína Sin Epinefrina,Sólido Cutáneo Parche Transdérmico,5 %,Caja X Parche/Parches,Adjudicado oferente ganador,5.0,Pichincha , Quito,2022-06-23 08:00:00
SICM-519-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iOQfWSTNHXD47SxZm9MKgm45vL_OWhV_e-GMG6OZo8w,","DCI: LOPINAVIR + RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG + 50 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Lopinavir + Ritonavir,Sólido Oral,200 MG + 50 MG,"Caja X Frasco Dosis Personal, No Envase Hospitalario",Adjudicado otros oferentes,0.27,Pichincha , Quito,2022-06-23 08:00:00
SICM-520-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_MnfepXRk3n-OmNPLwN-wU-2MlAC5a_iZbyL87vG51k,",DCI: TENOFOVIR + EMTRICITABINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Tenofovir + Emtricitabina,Sólido Oral,300 MG + 200 MG,Caja X Frasco,Adjudicado otros oferentes,0.43854,Pichincha , Quito,2022-06-23 08:00:00
SICM-503-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=64dFKv5gC6Q8PYfKQ5md6X7jGMgvVCPQtGpWM4CZ-Vk,",DCI: MEGLUMINA ANTIMONIATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 300 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 5 ML,Meglumina Antimoniato,Líquido Parenteral,300 MG/ML,Caja X Ampolla-S X 5 Ml,Adjudicado oferente ganador,3.79707,Pichincha , Quito,2022-06-23 08:00:00
SICM-504-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sGLIxWT-5eloFFbtFRuKxNWXmfGIylrO6hEaZXo80nk,",DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS,Mesalazina,Sólido Oral Polvo,1 000 MG,Caja X Sobres/Sachets,Adjudicado oferente ganador,1.30837,Pichincha , Quito,2022-06-23 08:00:00
SICM-506-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xGN5XbEWk-uxlAXHK-9wPDaHJCjaPMa3KiYky-X3__Q,",DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Metildopa Levógira,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.21207,Pichincha , Quito,2022-06-23 08:00:00
SICM-523-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=W1xPIh-VpfhNCKneH0UUTnzF7dtKTP8fBV4rQmFwG3k,",DCI: MAGALDRATO CON SIMETICONA HIDRÓXIDO DE AL Y MG - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X FRASCO/FRASCO X 150 ML MÍNIMO CON DOSIFICADOR,Magaldrato Con Simeticona Hidróxido De Al Y Mg,Líquido Oral,NO DEFINIDO,Caja X Frasco/Frasco X 150 Ml Mínimo Con Dosificador,Adjudicado oferente ganador,0.76078,Pichincha , Quito,2022-06-23 08:00:00
SICM-471-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a058J1lePOEhmSVsBG_SOXpBIruy5DqwxCD3i0ss0r0,",DCI: BUPRENORFINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Buprenorfina,Sólido Cutáneo Parche Transdérmico,10 MG,Caja X Parche/Parches,Adjudicado otros oferentes,10.166,Pichincha , Quito,2022-06-22 08:00:00
SICM-472-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lrWFpEk3KCLcyOT5pkrUOltMruv_RpFj8dF5ktshzC0,",DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 100 ML,Cetuximab,Líquido Parenteral,5 MG/ML,Caja X Vial-Es X 100 Ml,Adjudicado oferente ganador,1817.74727,Pichincha , Quito,2022-06-22 08:00:00
SICM-473-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ns80Zzl-4JM0qGsSy6Et0ALAIfgW6vutzKmwYqoPWww,",DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 20 ML,Cetuximab,Líquido Parenteral,5 MG/ML,Caja X Vial-Es X 20 Ml,Adjudicado oferente ganador,360.0,Pichincha , Quito,2022-06-22 08:00:00
