codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre
SICM-499-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UIXyurPSXxe2Fyovx3ygThjieTNdB6k_9QGKYNLHgh0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LEVONORGESTREL - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL -IMPLANTE SUBDÉRMICO - CONCENTRACIÓN: 150 MG -2 VARILLAS DE 75 MG - PRESENTACIÓN COMERCIAL: CAJA X IMPLANTE -S- DE 75 MG C/U + TROCAR -ES.,Desierto,PICHINCHA / QUITO,$62.31600,2022-06-23 08:00:00,First 2022
SICM-514-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UOXnAmxNvOiertJARziuRnGgC2_Aj1DYNq1AHjCIxJQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PREDNISOLONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.06000,2022-06-23 08:00:00,First 2022
SICM-500-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fJvdNUpYQo-kbzCMuBliiFDV8Pgb5MTad20bdf2p81U,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado oferente ganador,PICHINCHA / QUITO,$5.00000,2022-06-23 08:00:00,First 2022
SICM-515-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LoPjpDP9uzCQbnOnzsTUjXcPDykxASndFJGi7kajMhI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PROGESTERONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.23000,2022-06-23 08:00:00,First 2022
SICM-516-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=P01DsNCn0ZpceVfM0-acR7cyclrlxuSHWgWph2ID5lo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: RITUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 1400 MG/11,7 ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 11,7 ML",Desierto,PICHINCHA / QUITO,$1406.37000,2022-06-23 08:00:00,First 2022
SICM-501-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fAxvNdzqUDi3UXyGwA4TGJUogKF2cg8Vot9Oc01RZh8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.17168,2022-06-23 08:00:00,First 2022
SICM-517-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=O40EIk613ZzkNspK2FHyDMcOC6GqoOAbmAvJRIwTwl8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: ZIDOVUDINA + LAMIVUDINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 150 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.25247,2022-06-23 08:00:00,First 2022
SICM-518-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=v1E7s9MvQ55RWE4Yn_ubGL20LqOh1h60SWiEC_5DQlo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LAMIVUDINA + ABACAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 600 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.62000,2022-06-23 08:00:00,First 2022
SICM-502-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NA3mG9FYFq4KX9BteZmiL9SCI0mqEMdiRLMatz9AoUM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA.,Desierto,PICHINCHA / QUITO,$0.34335,2022-06-23 08:00:00,First 2022
SICM-519-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iOQfWSTNHXD47SxZm9MKgm45vL_OWhV_e-GMG6OZo8w,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LOPINAVIR + RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG + 50 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.27000,2022-06-23 08:00:00,First 2022
