index,codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion,contrato
2,SICM-500-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a5QMqsgalNLjC_gS5r37oZubemKhzOmL_MyGvpS9iLk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado oferente ganador,PICHINCHA / QUITO,$5.00000,2022-06-23 08:00:00,First 2022,N01BB02SCT220X0,Lidocaína sin epinefrina,Sólido cutáneo (Parche transdérmico),5 %,Caja x parche/parches,184631.0,USD 5.000000,"USD 923,155.000000",GRUNENTHAL ECUATORIANA CIA LTDA,USD 2.990000,2022-09-05 13:11:06,SI
9,SICM-519-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7tz1Uy9NWcxvXO8vn5JfB5Mskdl3KZqKTK2qW5sslYI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LOPINAVIR + RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG + 50 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.27000,2022-06-23 08:00:00,First 2022,J05AR10SOR149X0,Lopinavir + Ritonavir,Sólido oral,200 mg + 50 mg,"Caja x frasco dosis personal, no envase hospitalario",89200.0,USD 0.270000,"USD 24,084.000000",FARMAYALA PHARMACEUTICAL COMPANY S.A. FPC,USD 0.264626,2022-12-21 13:25:27,SI
10,SICM-520-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-iJQ8k5CvmQfx1zeg9qQp-0T0d0ivK_njU_1mJ7_7FI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TENOFOVIR + EMTRICITABINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.43854,2022-06-23 08:00:00,First 2022,J05AR03SOR189X0,Tenofovir + Emtricitabina,Sólido oral,300 mg + 200 mg,Caja x frasco,189144.0,USD 0.438544,"USD 82,947.966336",LABORATORIOS LACFARMA S.A.,USD 0.327000,2022-12-08 16:42:39,SI
11,SICM-503-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=O5SAk6WjnFJzT_em3pq1ryS5JP2dMGSB3bs5jHae_Qw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MEGLUMINA ANTIMONIATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 300 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 5 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.79707,2022-06-23 08:00:00,First 2022,P01CB01LPR194A8,Meglumina antimoniato,Líquido parenteral,300 mg/mL,Caja x ampolla(s) x 5 mL,18500.0,USD 3.797072,"USD 70,245.832000",OFTALVIS S.A.,USD 3.560000,2022-09-05 16:36:02,SI
12,SICM-504-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VDWkpDqBVEYyEYfM8L9wEsO-wT5MLUOYJLi137FTA7U,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS,Adjudicado oferente ganador,PICHINCHA / QUITO,$1.30837,2022-06-23 08:00:00,First 2022,A07EC02SOP061X0,Mesalazina,Sólido oral (polvo),1 000 mg,Caja x sobres/sachets,199725.0,USD 1.308369,"USD 261,313.998525",NEOETHICALS CIA. LTDA.,USD 0.850000,2022-09-21 13:16:40,SI
14,SICM-506-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Sf3w7qm6SQWAx7A5lZ6xx47T3zKjsP2DH0MIa69LaBE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.21207,2022-06-23 08:00:00,First 2022,C02AB01SOR241X0,Metildopa ( levógira ),Sólido oral,500 mg,Caja x blíster/ristra,189688.0,USD 0.212071,"USD 40,227.323848",NEOETHICALS CIA. LTDA.,USD 0.190000,2023-03-24 16:04:36,SI
20,SICM-523-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rxT960W0e81Lo59fVc9slw8QTzNuWYr7-SmI4O1W778,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MAGALDRATO CON SIMETICONA HIDRÓXIDO DE AL Y MG - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X FRASCO/FRASCO X 150 ML MÍNIMO CON DOSIFICADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.76078,2022-06-23 08:00:00,First 2022,A02AF01LOR000X0,Magaldrato con simeticona (Hidróxido de Al y Mg),Líquido oral,No definido,Caja x frasco/Frasco x 150 mL (mínimo) con dosificador,5804990.0,USD 0.760775,"USD 4,416,291.267250",FARMAYALA PHARMACEUTICAL COMPANY S.A. FPC,USD 0.720000,2022-09-07 13:12:05,SI
32,SICM-471-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bDqFte0aIh7Fmf0qD_t6tGNR-46VHlvGtB6Ja7G6CZs,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BUPRENORFINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado otros oferentes,PICHINCHA / QUITO,$10.16600,2022-06-22 08:00:00,First 2022,N02AE01SCT075X0,Buprenorfina,Sólido cutáneo (Parche transdérmico),10 mg,Caja x parche/parches,11651.0,USD 10.166000,"USD 118,444.066000",GRUNENTHAL ECUATORIANA CIA LTDA,USD 8.358000,2022-10-06 13:01:16,SI
34,SICM-472-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=CsW8lliBEKGS9X9zL-V1BBZc96J1024UTROZ4o2eTnc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 100 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$1817.74727,2022-06-22 08:00:00,First 2022,L01XC06LPR225W8,Cetuximab,Líquido parenteral,5 mg/mL,Caja x vial(es) x 100 mL,4352.0,"USD 1,817.747269","USD 7,910,836.114688",MERCK C.A.,"USD 1,799.569796",2022-09-06 17:34:25,SI
36,SICM-473-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NQeTUPzNkmZ1EVXSfV5TCqYhlhq11N1xh5UPbRpFlGs,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 20 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$360.00000,2022-06-22 08:00:00,First 2022,L01XC06LPR225V8,Cetuximab,Líquido parenteral,5 mg/mL,Caja x vial(es) x 20 mL,8491.0,USD 360.000000,"USD 3,056,760.000000",MERCK C.A.,USD 352.000000,2022-09-05 14:45:27,SI
