codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion
SICM-499-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=y_AW9DaJ2dEjOxVFmL3lC-08aVLScDSDVfQu5UPsjr8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LEVONORGESTREL - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL -IMPLANTE SUBDÉRMICO - CONCENTRACIÓN: 150 MG -2 VARILLAS DE 75 MG - PRESENTACIÓN COMERCIAL: CAJA X IMPLANTE -S- DE 75 MG C/U + TROCAR -ES.,Desierto,PICHINCHA / QUITO,$62.31600,2022-06-23 08:00:00,First 2022,G03AC03SPS113I1,Levonorgestrel,Sólido parenteral (Implante subdérmico),150 mg (2 varillas de 75 mg),Caja x implante (s) de 75 mg c/u + trocar (es),23933,USD 62.316000,"USD 1,491,408.828000",,,
SICM-514-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=JD66Gdou-LQnI0nGPoE0wKiirN5WPYwr_xSJ3h1_dAk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PREDNISOLONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.06000,2022-06-23 08:00:00,First 2022,H02AB06SOR140X0,Prednisolona,Sólido oral,20 mg,Caja x blíster/ristra,595189,USD 0.060000,"USD 35,711.340000",,,
SICM-500-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a5QMqsgalNLjC_gS5r37oZubemKhzOmL_MyGvpS9iLk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado oferente ganador,PICHINCHA / QUITO,$5.00000,2022-06-23 08:00:00,First 2022,N01BB02SCT220X0,Lidocaína sin epinefrina,Sólido cutáneo (Parche transdérmico),5 %,Caja x parche/parches,184631,USD 5.000000,"USD 923,155.000000",GRUNENTHAL ECUATORIANA CIA LTDA,USD 2.990000,2022-09-05 13:11:06
SICM-515-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vAYvGuDwX8cVMM1gCaoXQTUkP91kthmnRHxRsY5aWVQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PROGESTERONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.23000,2022-06-23 08:00:00,First 2022,G03DA04SOR083X0,Progesterona,Sólido oral,100 mg,Caja x blíster/ristra,3459277,USD 0.230000,"USD 795,633.710000",,,
SICM-516-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=i1vuSe9aPUSQIq-8PaPDKzECskPBoxdLkWiTIqR6tHw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: RITUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 1400 MG/11,7 ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 11,7 ML",Desierto,PICHINCHA / QUITO,$1406.37000,2022-06-23 08:00:00,First 2022,L01XC02LPR104D7,Rituximab,Líquido parenteral,"1 400 mg/11,7 mL","Caja x vial x 11,7 mL",2230,"USD 1,406.370000","USD 3,136,205.100000",,,
SICM-501-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yfuFnT9_biSdfcTUZ5QHBsygg1DcM2iiGNNZk5-2oL0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.17168,2022-06-23 08:00:00,First 2022,N05BA06SOR054X0,Lorazepam,Sólido oral,1 mg,Caja x blíster/ristra,106635,USD 0.171676,"USD 18,306.670260",,,
SICM-517-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=6D3h4bGF8meVmCpQBwigSf0SdJUgsNePURQRvm_BCkc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: ZIDOVUDINA + LAMIVUDINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 150 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.25247,2022-06-23 08:00:00,First 2022,J05AR01SOR187X0,Zidovudina + Lamivudina,Sólido oral,300 mg + 150 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",46552,USD 0.252465,"USD 11,752.750680",,,
SICM-518-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rKj4Yt383D-8XM-XvlHR6LpyVvDuOR30Rj88HHWOwXk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LAMIVUDINA + ABACAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 600 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.62000,2022-06-23 08:00:00,First 2022,J05AR02SOR191X0,Lamivudina + Abacavir,Sólido oral,300 mg + 600 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",48748,USD 0.620000,"USD 30,223.760000",,,
SICM-502-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0w006SP1B0BEgU3b67Owmg7flBeBfS352D_kxsj8pVk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA.,Desierto,PICHINCHA / QUITO,$0.34335,2022-06-23 08:00:00,First 2022,N05BA06SOR128X0,Lorazepam,Sólido oral,2 mg,Caja x blíster/ristra,224680,USD 0.343352,"USD 77,144.327360",,,
SICM-519-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7tz1Uy9NWcxvXO8vn5JfB5Mskdl3KZqKTK2qW5sslYI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LOPINAVIR + RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG + 50 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.27000,2022-06-23 08:00:00,First 2022,J05AR10SOR149X0,Lopinavir + Ritonavir,Sólido oral,200 mg + 50 mg,"Caja x frasco dosis personal, no envase hospitalario",89200,USD 0.270000,"USD 24,084.000000",FARMAYALA PHARMACEUTICAL COMPANY S.A. FPC,USD 0.264626,2022-12-21 13:25:27
