codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre
SICM-499-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=y_AW9DaJ2dEjOxVFmL3lC-08aVLScDSDVfQu5UPsjr8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LEVONORGESTREL - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL -IMPLANTE SUBDÉRMICO - CONCENTRACIÓN: 150 MG -2 VARILLAS DE 75 MG - PRESENTACIÓN COMERCIAL: CAJA X IMPLANTE -S- DE 75 MG C/U + TROCAR -ES.,Desierto,PICHINCHA / QUITO,$62.31600,2022-06-23 08:00:00,First 2022
SICM-514-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=JD66Gdou-LQnI0nGPoE0wKiirN5WPYwr_xSJ3h1_dAk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PREDNISOLONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.06000,2022-06-23 08:00:00,First 2022
SICM-500-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a5QMqsgalNLjC_gS5r37oZubemKhzOmL_MyGvpS9iLk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado oferente ganador,PICHINCHA / QUITO,$5.00000,2022-06-23 08:00:00,First 2022
SICM-515-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vAYvGuDwX8cVMM1gCaoXQTUkP91kthmnRHxRsY5aWVQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PROGESTERONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.23000,2022-06-23 08:00:00,First 2022
SICM-516-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=i1vuSe9aPUSQIq-8PaPDKzECskPBoxdLkWiTIqR6tHw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: RITUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 1400 MG/11,7 ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 11,7 ML",Desierto,PICHINCHA / QUITO,$1406.37000,2022-06-23 08:00:00,First 2022
SICM-501-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yfuFnT9_biSdfcTUZ5QHBsygg1DcM2iiGNNZk5-2oL0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.17168,2022-06-23 08:00:00,First 2022
SICM-517-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=6D3h4bGF8meVmCpQBwigSf0SdJUgsNePURQRvm_BCkc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: ZIDOVUDINA + LAMIVUDINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 150 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.25247,2022-06-23 08:00:00,First 2022
SICM-518-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rKj4Yt383D-8XM-XvlHR6LpyVvDuOR30Rj88HHWOwXk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LAMIVUDINA + ABACAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 600 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.62000,2022-06-23 08:00:00,First 2022
SICM-502-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0w006SP1B0BEgU3b67Owmg7flBeBfS352D_kxsj8pVk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LORAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA.,Desierto,PICHINCHA / QUITO,$0.34335,2022-06-23 08:00:00,First 2022
SICM-519-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7tz1Uy9NWcxvXO8vn5JfB5Mskdl3KZqKTK2qW5sslYI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LOPINAVIR + RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG + 50 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.27000,2022-06-23 08:00:00,First 2022
